        Corr.   Lasso   Linear_reg      MIC     RF      RFE     Ridge   Stability       Mean
Var172  0.0     0.0     0.0     0.01    0.0     0.86    0.02    0.0     0.11
Var173  0.0     0.0     0.0     0.0     0.0     0.91    0.01    0.0     0.12
Var174  0.0     0.0     0.0     0.01    0.0     0.78    0.06    0.0     0.11
Var176  0.0     0.0     0.0     0.0     0.0     0.5     0.01    0.0     0.06
Var177  0.01    0.0     0.0     0.02    0.0     0.14    0.0     0.0     0.02
Var178  0.01    0.0     0.0     0.01    0.0     0.52    0.02    0.0     0.07
Var179  0.0     0.0     0.0     0.01    0.0     0.78    0.02    0.0     0.1
Var180  0.02    0.0     0.0     0.03    0.0     0.08    0.0     0.0     0.02
Var181  0.0     0.0     0.0     0.0     0.0     0.89    0.0     0.0     0.11
Var182  0.01    0.0     0.0     0.04    0.0     0.18    0.0     0.0     0.03
Var183  0.01    0.0     0.0     0.02    0.0     0.21    0.0     0.0     0.03
Var184  0.02    0.0     0.0     0.01    0.0     0.75    0.0     0.0     0.1
Var186  0.01    0.0     0.0     0.0     0.0     0.98    0.03    0.0     0.13
Var187  0.0     0.0     0.0     0.01    0.0     0.7     0.01    0.0     0.09
Var188  0.05    0.01    0.0     0.05    0.0     0.4     0.0     0.0     0.06
Var189  0.01    0.0     0.0     0.02    0.03    0.34    0.0     0.0     0.05
Var190  0.01    0.0     0.0     0.02    0.0     0.29    0.0     0.0     0.04
Var192  0.0     0.0     0.0     0.14    0.05    0.35    0.0     0.0     0.07
Var193  0.0     0.0     0.0     0.02    0.01    0.39    0.0     0.0     0.05
Var194  0.0     0.0     0.0     0.0     0.0     0.58    0.04    0.0     0.08
Var195  0.0     0.0     0.0     0.01    0.0     0.4     0.0     0.0     0.05
Var196  0.0     0.0     0.0     0.0     0.0     0.47    0.01    0.0     0.06
Var197  0.01    0.0     0.0     0.09    0.04    0.36    0.0     0.0     0.06
Var198  0.0     0.0     0.0     0.19    0.06    0.29    0.0     0.0     0.07
Var199  0.0     0.0     0.0     0.17    0.06    0.3     0.0     0.0     0.07
Var200  0.06    0.0     0.0     0.23    0.02    0.26    0.0     0.0     0.07
Var201  0.0     0.01    0.0     0.0     0.0     0.61    0.2     0.0     0.1
